subject	population	primary_eligible	complete_truth_available	exact_truth_loci	source_record_count	eligibility_reason	truth_source_sha256
HG00373	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00375	FIN	1	0	1	1		0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00376	FIN	1	0	1	1		0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00377	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00378	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00379	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00380	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00381	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00382	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00383	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00384	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00403	CHS	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00404	CHS	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
